Date,Open,High,Low,Close,Volume,Marketcap,
2025-06-01,104637.2967,105884.5443,103826.9556,105652.0986,37397056873,2099600000000 ,
2025-05-31,103994.7152,104927.1046,103136.1135,104638.0913,38997843858,2079430000000 ,
2025-05-30,105646.2077,106308.9485,103685.7883,103998.5722,57655287183,2066610000000 ,
2025-05-29,107795.5706,108910.0492,105374.3999,105641.7607,56022752042,2099380000000 ,
2025-05-28,108992.1725,109298.2886,106812.9299,107802.3245,49155377493,2142030000000 ,
2025-05-27,109440.4095,110744.2078,107609.5567,108994.6422,57450176272,2165760000000 ,
2025-05-26,109023.7783,110376.8815,108735.6419,109440.3684,45950461571,2174620000000 ,
2025-05-25,107802.2721,109313.3015,106683.3725,109035.387,47518041841,2166290000000 ,
2025-05-24,107278.507,109454.5212,106895.2911,107791.1575,45903627163,2141970000000 ,
2025-05-23,111679.3563,111798.9039,106841.3012,107287.7967,67548133399,2131510000000 ,
2025-05-22,109673.4919,111970.1681,109285.0724,111673.284,70157575642,2218900000000 ,
2025-05-21,106791.3124,110724.4642,106127.2346,109678.0763,78086364051,2178990000000 ,
2025-05-20,105605.4091,107307.1139,104206.5158,106791.0897,36515726122,2121680000000 ,
2025-05-19,106430.5327,107068.7224,102112.6855,105606.1815,61761126647,2098070000000 ,
2025-05-18,103186.9556,106597.1681,103142.6046,106446.0106,49887082058,2114270000000 ,
2025-05-17,103489.2897,103716.949,102659.1771,103191.0855,37898552742,2049840000000 ,
2025-05-16,103735.6551,104533.4867,103137.4787,103489.2917,44386499364,2055840000000 ,
2025-05-15,103538.8257,104153.6199,101440.8125,103744.6436,50408241840,2060730000000 ,
2025-05-14,104167.3256,104303.5652,102618.2974,103539.4171,45956071155,2056780000000 ,
2025-05-13,102812.4925,104997.4206,101515.0929,104169.8129,52608876410,2069220000000 ,
2025-05-12,104106.9627,105747.4521,100814.4026,102812.9533,63250475404,2042260000000 ,
2025-05-11,104701.0726,104937.9892,103364.7398,104106.3555,46285517406,2067930000000 ,
2025-05-10,102973.7142,104961.7644,102830.4816,104696.3273,42276713994,2079680000000 ,
2025-05-09,103239.1252,104297.4909,102343.0903,102970.8497,58198593958,2045330000000 ,
2025-05-08,97034.24689,103969.5365,96913.8724,103241.4608,69895404397,2050550000000 ,
2025-05-07,96800.1945,97625.80534,95829.33207,97032.31897,76983822462,1927260000000 ,
2025-05-06,94748.38629,96889.17623,93399.85891,96802.47756,26551275827,1922560000000 ,
2025-05-05,94319.56287,95193.1862,93566.26384,94748.05148,25816260327,1881770000000 ,
2025-05-04,95877.18418,96318.91982,94173.43224,94315.97489,18198688416,1873200000000 ,
2025-05-03,96904.63474,96943.88182,95821.29092,95891.79803,15775154889,1904100000000 ,
2025-05-02,96494.96919,97905.90081,96375.94611,96910.06858,26421924677,1924450000000 ,
2025-05-01,94212.86288,97437.96388,94153.63388,96492.33905,32875889623,1916270000000 ,
2025-04-30,94286.46866,95249.31941,92979.63963,94207.3113,28344679831,1870910000000 ,
2025-04-29,94981.86138,95485.41282,93796.63422,94284.79163,25806129921,1872330000000 ,
2025-04-28,93755.30361,95598.49224,92860.80822,94978.7525,32363449569,1886100000000 ,
2025-04-27,94660.90921,95301.20638,93665.39736,93754.84674,18090367764,1861700000000 ,
2025-04-26,94714.64637,95251.35944,93927.25063,94646.92811,17612825123,1879640000000 ,
2025-04-25,93954.24982,95768.39247,92898.59309,94720.49802,40915232364,1880790000000 ,
2025-04-24,93692.39595,94016.19443,91696.71411,93943.79342,31483175315,1865530000000 ,
2025-04-23,93427.58581,94535.73207,91962.95818,93699.11318,41719568821,1860290000000 ,
2025-04-22,87521.87117,93817.38379,87084.52941,93441.89335,55899038456,1855000000000 ,
2025-04-21,85171.54275,88460.09617,85143.83771,87518.90503,41396190190,1737700000000 ,
2025-04-20,85066.06887,85306.38126,83976.84585,85174.30163,14664050812,1691000000000 ,
2025-04-19,84450.87033,85597.70374,84353.45782,85063.41306,15259300427,1688870000000 ,
2025-04-18,84900.19136,85095.04944,84298.8832,84450.80708,12728372364,1676620000000 ,
2025-04-17,84030.67293,85449.06766,83749.75302,84895.75144,21276866029,1685510000000 ,
2025-04-16,83674.51108,85428.28241,83100.61793,84033.86542,29617804112,1668200000000 ,
2025-04-15,84539.69278,86429.34848,83598.81842,83668.98933,28040322885,1661090000000 ,
2025-04-14,83694.52327,85784.99773,83690.63695,84542.39128,34090769777,1678230000000 ,
2025-04-13,85279.47053,86015.18585,83027.00426,83684.97903,28796984817,1661410000000 ,
2025-04-12,83404.51699,85856.18787,82769.37789,85287.11328,24258059104,1692830000000 ,
2025-04-11,79625.04814,84247.47365,78936.32057,83404.83981,41656778779,1655580000000 ,
2025-04-10,82565.97445,82700.93206,78456.13375,79626.14144,44718000633,1580520000000 ,
2025-04-09,76273.5617,83541.00025,74589.67271,82573.95113,84213627038,1638860000000 ,
2025-04-08,79218.47386,80823.88812,76198.02228,76271.95017,48314590749,1513930000000 ,
2025-04-07,78221.33313,81119.06442,74436.6791,79235.33313,91262424987,1572340000000 ,
2025-04-06,83504.50712,83704.71779,77097.7409,78214.48082,36294853736,1552510000000 ,
2025-04-05,83844.69966,84207.01936,82377.73586,83504.80017,14380803631,1657340000000 ,
2025-04-04,83100.24744,84696.14626,81670.74877,83843.80487,45157640207,1664040000000 ,
2025-04-03,82487.47642,83909.29837,81282.09786,83102.82821,36852112080,1649220000000 ,
2025-04-02,85180.61304,88466.95696,82343.53911,82485.70837,47584398470,1637020000000 ,
2025-04-01,82551.91873,85487.36612,82429.36199,85169.16959,28175650319,1690420000000 ,
2025-03-31,82336.05935,83870.12135,81293.88856,82548.91096,29004228247,1638220000000 ,
2025-03-30,82596.98323,83505.00293,81573.24707,82334.5227,14763760943,1633900000000 ,
2025-03-29,84352.07273,84567.33215,81634.14131,82597.58434,16969396135,1639040000000 ,
2025-03-28,87185.23468,87489.86121,83557.64246,84353.15101,34198619509,1673830000000 ,
2025-03-27,86896.25488,87786.7234,85837.9337,87177.10211,24413471941,1730010000000 ,
2025-03-26,87460.23667,88292.1569,85861.45539,86900.88554,26704046038,1724240000000 ,
2025-03-25,87512.81944,88542.39467,86346.0789,87471.70305,30005840049,1735380000000 ,
2025-03-24,86070.92811,88758.72964,85541.1981,87498.91241,34582604933,1736500000000 ,
2025-03-23,83831.90051,86094.78008,83794.91066,86054.37186,12594615537,1707320000000 ,
2025-03-22,84046.25829,84513.87242,83674.78082,83832.48755,9863214091,1663230000000 ,
2025-03-21,84164.54252,84782.27165,83171.06972,84043.24518,19030452299,1667340000000 ,
2025-03-20,86872.9533,87443.26777,83647.19397,84167.1934,29028988961,1669790000000 ,
2025-03-19,82718.80426,87021.18581,82569.72689,86854.22596,34931960257,1723490000000 ,
2025-03-18,84075.71567,84075.71567,81179.99016,82718.50232,24095774594,1641030000000 ,
2025-03-17,82576.33428,84725.32598,82492.15254,84075.6887,25092785558,1667920000000 ,
2025-03-16,84333.32162,85051.59849,82017.90471,82579.69089,21330270174,1638140000000 ,
2025-03-15,83968.40595,84672.67216,83639.59486,84343.10846,13650491277,1673150000000 ,
2025-03-14,81066.99338,85263.28986,80797.56259,83969.09972,29588112414,1665860000000 ,
2025-03-13,83724.9196,84301.69191,79931.85324,81066.70137,31412940153,1608730000000 ,
2025-03-12,82857.37837,84358.57746,80635.24923,83722.36195,40353484454,1660120000000 ,
2025-03-11,78523.87154,83577.75596,76624.25249,82862.20818,54702837196,1643250000000 ,
